category,source,question,answer,explanation
가족법,2026 최신개정 반영 실전형,배우자의 유류분은 법정상속분의 2분의 1이다.,O,현행 민법 기준입니다.
가족법,2026 최신개정 반영 실전형,상속재산분할은 상속개시 시로 소급효가 있으나 제3자 권리를 해하지 못한다.,O,민법 규정입니다.

민법총칙,2026 법원직 함정형,권리남용 금지 원칙은 물권에는 적용되지 않는다.,X,민법 전 영역에 적용됩니다.
민법총칙,2026 법원직 함정형,신의성실의 원칙은 민법의 기본원칙이다.,O,민법 제2조입니다.
물권법,2026 법원직 함정형,선의취득은 점유개정의 방법으로는 인정되지 않는다.,O,현실 인도가 필요합니다.
물권법,2026 법원직 함정형,건물은 토지의 종물이다.,X,독립한 부동산입니다.
물권법,2026 법원직 함정형,혼동은 물권 소멸 원인이 될 수 있다.,O,권리 귀속 동일화입니다.
채권법,2026 법원직 함정형,채권자대위권은 채무자의 일신전속권에도 행사 가능하다.,X,행사할 수 없습니다.
채권법,2026 법원직 함정형,채권자취소권은 채무자의 사해행위를 취소하여 채권자를 보호한다.,O,사해행위취소권입니다.
채권법,2026 법원직 함정형,손해배상 예정액이 과다해도 법원은 감액할 수 없다.,X,민법 제398조에 따라 감액 가능합니다.
가족법,2026 법원직 함정형,협의이혼은 신고만 하면 언제나 성립한다.,X,가정법원 확인 절차가 필요합니다.
가족법,2026 법원직 함정형,친양자는 원칙적으로 친생부모와의 친족관계가 종료된다.,O,친양자 제도의 특징입니다.
민법총칙,2026 판례심화형,무효인 법률행위는 추인하여도 원칙적으로 유효하게 될 수 없다.,O,무효와 취소의 핵심 차이입니다.
물권법,2026 판례심화형,점유회수청구권은 침탈당한 날부터 1년 내 행사해야 한다.,O,제척기간입니다.
채권법,2026 판례심화형,매매는 당사자 일방이 재산권을 이전할 것을 약정하고 상대방이 대금을 지급할 것을 약정함으로써 효력이 생긴다.,O,민법상 매매 정의입니다.
가족법,2026 판례심화형,친권은 원칙적으로 부모가 공동으로 행사한다.,O,공동친권 원칙입니다.
민법총칙,2026 고난도 실전형,표현대리 성립 여부 판단에서 상대방의 선의 무과실이 요구되는 경우가 있다.,O,권한을 넘은 표현대리 등에서 문제됩니다.
물권법,2026 고난도 실전형,부동산 이중매매에서 제2매수인은 특별한 사정이 없는 한 유효하게 소유권을 취득할 수 있다.,O,반사회질서 행위 등 예외 제외입니다.
채권법,2026 고난도 실전형,채무자가 채권자지체 상태에 있는 경우에도 고의 중과실 책임은 부담한다.,O,책임이 완전히 면제되지는 않습니다.
가족법,2026 고난도 실전형,상속인은 상속재산에 관한 포괄적 권리의무를 승계한다.,O,포괄승계 원칙입니다.
민법총칙,2026 법원직 최종실전형,의사표시의 해석은 표시행위의 객관적 의미와 당사자의 진정한 의사를 함께 고려한다.,O,법률행위 해석 원칙입니다.
물권법,2026 법원직 최종실전형,저당권의 효력은 원칙적으로 종물에도 미친다.,O,종물 포함이 원칙입니다.
